iter	Passed	Remaining
0	84	84081
1	103	51431
2	125	41550
3	146	36490
4	176	35133
5	206	34287
6	226	32091
7	250	31089
8	270	29739
9	292	28952
10	313	28176
11	340	28007
12	366	27829
13	390	27526
14	417	27422
15	445	27373
16	464	26863
17	490	26771
18	513	26527
19	537	26349
20	563	26268
21	592	26324
22	614	26114
23	647	26324
24	676	26388
25	701	26268
26	731	26361
27	757	26289
28	781	26170
29	805	26035
30	830	25953
31	855	25872
32	877	25718
33	903	25657
34	923	25470
35	947	25370
36	974	25358
37	994	25177
38	1022	25188
39	1051	25239
40	1075	25147
41	1094	24969
42	1118	24889
43	1145	24880
44	1172	24887
45	1196	24815
46	1219	24736
47	1242	24648
48	1268	24611
49	1291	24546
50	1317	24519
51	1353	24666
52	1400	25023
53	1472	25787
54	1497	25734
55	1529	25780
56	1563	25873
57	1590	25831
58	1618	25811
59	1650	25863
60	1679	25848
61	1714	25944
62	1746	25982
63	1778	26006
64	1810	26036
65	1838	26016
66	1866	25988
67	1888	25882
68	1914	25837
69	1942	25801
70	1967	25737
71	1994	25705
72	2025	25719
73	2052	25685
74	2075	25593
75	2099	25527
76	2124	25471
77	2148	25396
78	2175	25360
79	2197	25266
80	2219	25185
81	2243	25113
82	2264	25019
83	2293	25014
84	2313	24904
85	2343	24905
86	2366	24835
87	2395	24822
88	2416	24740
89	2448	24753
90	2472	24699
91	2497	24647
92	2521	24595
93	2546	24543
94	2569	24478
95	2598	24467
96	2625	24442
97	2649	24388
98	2680	24398
99	2710	24398
100	2733	24335
101	2757	24273
102	2779	24203
103	2808	24194
104	2836	24181
105	2863	24153
106	2893	24151
107	2917	24100
108	2944	24065
109	2975	24075
110	3004	24059
111	3031	24039
112	3061	24031
113	3086	23990
114	3115	23975
115	3147	23987
116	3178	23991
117	3203	23942
118	3231	23922
119	3261	23919
120	3292	23919
121	3319	23892
122	3343	23842
123	3370	23814
124	3397	23784
125	3422	23737
126	3453	23737
127	3480	23710
128	3511	23712
129	3538	23678
130	3567	23668
131	3594	23639
132	3622	23613
133	3648	23577
134	3676	23558
135	3706	23545
136	3732	23511
137	3755	23459
138	3781	23424
139	3805	23374
140	3826	23309
141	3844	23228
142	3868	23186
143	3877	23049
144	3902	23010
145	3924	22954
146	3952	22932
147	3979	22907
148	4009	22898
149	4035	22866
150	4058	22820
151	4088	22806
152	4110	22754
153	4134	22714
154	4161	22685
155	4186	22648
156	4216	22640
157	4240	22598
158	4267	22570
159	4293	22540
160	4321	22521
161	4350	22505
162	4372	22451
163	4399	22427
164	4427	22403
165	4451	22366
166	4477	22336
167	4509	22334
168	4539	22322
169	4569	22309
170	4592	22264
171	4622	22252
172	4646	22213
173	4669	22167
174	4698	22151
175	4729	22142
176	4759	22128
177	4789	22119
178	4814	22084
179	4843	22063
180	4872	22047
181	4899	22021
182	4929	22006
183	4960	22000
184	4984	21958
185	5008	21919
186	5037	21898
187	5062	21864
188	5089	21840
189	5118	21819
190	5151	21818
191	5183	21813
192	5214	21804
193	5247	21800
194	5279	21794
195	5309	21781
196	5331	21731
197	5361	21718
198	5389	21693
199	5415	21661
200	5439	21621
201	5473	21624
202	5501	21597
203	5528	21570
204	5554	21541
205	5632	21710
206	5656	21668
207	5686	21653
208	5714	21628
209	5742	21603
210	5769	21574
211	5799	21554
212	5829	21539
213	5868	21555
214	5894	21521
215	5922	21497
216	5944	21450
217	5967	21406
218	5994	21376
219	6021	21350
220	6052	21332
221	6078	21301
222	6110	21289
223	6139	21267
224	6164	21232
225	6197	21223
226	6223	21193
227	6250	21163
228	6279	21140
229	6309	21123
230	6334	21087
231	6357	21045
232	6380	21005
233	6405	20969
234	6431	20937
235	6460	20913
236	6485	20880
237	6507	20835
238	6540	20826
239	6577	20827
240	6608	20811
241	6642	20806
242	6667	20770
243	6694	20742
244	6720	20708
245	6747	20681
246	6781	20674
247	6811	20654
248	6839	20628
249	6871	20615
250	6899	20588
251	6930	20571
252	6955	20535
253	6985	20516
254	7017	20502
255	7050	20490
256	7077	20460
257	7103	20430
258	7131	20403
259	7160	20380
260	7191	20362
261	7221	20341
262	7250	20316
263	7275	20283
264	7307	20266
265	7335	20242
266	7366	20223
267	7400	20212
268	7437	20212
269	7466	20187
270	7498	20171
271	7526	20145
272	7558	20128
273	7589	20108
274	7616	20078
275	7646	20057
276	7675	20032
277	7706	20015
278	7736	19992
279	7768	19976
280	7798	19953
281	7832	19943
282	7865	19928
283	7895	19904
284	7921	19873
285	7955	19861
286	7985	19838
287	8009	19802
288	8034	19767
289	8064	19744
290	8096	19726
291	8122	19694
292	8145	19654
293	8167	19613
294	8195	19585
295	8228	19571
296	8251	19531
297	8279	19502
298	8306	19474
299	8331	19441
300	8357	19408
301	8384	19379
302	8410	19346
303	8433	19308
304	8463	19286
305	8492	19259
306	8520	19232
307	8552	19214
308	8580	19188
309	8609	19163
310	8637	19135
311	8662	19102
312	8690	19075
313	8714	19039
314	8744	19016
315	8783	19011
316	8813	18990
317	8847	18975
318	8880	18958
319	8910	18934
320	8942	18915
321	8970	18887
322	8998	18861
323	9032	18844
324	9061	18819
325	9091	18796
326	9120	18770
327	9149	18745
328	9179	18721
329	9217	18713
330	9255	18707
331	9294	18701
332	9323	18674
333	9356	18656
334	9390	18640
335	9427	18631
336	9458	18607
337	9485	18578
338	9519	18562
339	9550	18538
340	9583	18519
341	9618	18504
342	9649	18482
343	9688	18475
344	9717	18450
345	9753	18435
346	9783	18411
347	9816	18392
348	9851	18376
349	9883	18355
350	9913	18330
351	9937	18294
352	9966	18266
353	9992	18234
354	10019	18204
355	10049	18180
356	10084	18162
357	10111	18132
358	10139	18104
359	10167	18075
360	10192	18041
361	10217	18006
362	10245	17978
363	10276	17955
364	10304	17927
365	10340	17912
366	10367	17881
367	10389	17843
368	10420	17820
369	10449	17792
370	10476	17761
371	10511	17746
372	10541	17720
373	10566	17686
374	10597	17663
375	10626	17635
376	10650	17600
377	10682	17578
378	10713	17554
379	10740	17524
380	10769	17497
381	10798	17470
382	10823	17436
383	10847	17400
384	10872	17367
385	10897	17334
386	10928	17310
387	10959	17286
388	10985	17255
389	11019	17234
390	11049	17209
391	11079	17184
392	11105	17152
393	11139	17133
394	11172	17113
395	11202	17086
396	11229	17055
397	11254	17022
398	11282	16994
399	11312	16968
400	11338	16936
401	11369	16912
402	11399	16886
403	11429	16860
404	11460	16837
405	11495	16818
406	11526	16794
407	11552	16762
408	11587	16743
409	11614	16712
410	11646	16690
411	11675	16662
412	11701	16631
413	11728	16601
414	11752	16566
415	11777	16533
416	11804	16504
417	11829	16470
418	11850	16432
419	11876	16400
420	11906	16374
421	11935	16348
422	11957	16311
423	11987	16284
424	12012	16252
425	12042	16225
426	12062	16186
427	12087	16153
428	12116	16127
429	12142	16095
430	12165	16060
431	12195	16034
432	12223	16006
433	12249	15974
434	12280	15950
435	12306	15919
436	12326	15880
437	12345	15841
438	12370	15808
439	12400	15782
440	12429	15754
441	12455	15724
442	12486	15700
443	12520	15678
444	12552	15655
445	12578	15625
446	12607	15597
447	12644	15579
448	12680	15561
449	12708	15532
450	12743	15512
451	12771	15483
452	12806	15464
453	12830	15430
454	12862	15407
455	12894	15383
456	12924	15357
457	12958	15334
458	12994	15315
459	13026	15292
460	13056	15265
461	13084	15236
462	13110	15205
463	13148	15189
464	13184	15169
465	13222	15152
466	13254	15128
467	13283	15100
468	13314	15074
469	13341	15044
470	13368	15015
471	13400	14990
472	13429	14962
473	13461	14937
474	13488	14908
475	13518	14881
476	13544	14850
477	13576	14826
478	13599	14792
479	13621	14757
480	13652	14731
481	13681	14703
482	13708	14673
483	13737	14645
484	13769	14621
485	13798	14593
486	13822	14560
487	13851	14532
488	13879	14504
489	13904	14471
490	13934	14445
491	13959	14413
492	13985	14382
493	14011	14351
494	14040	14324
495	14066	14293
496	14099	14269
497	14128	14241
