iter	R2	RMSE
0	0.02678954206	0.4134315843
1	0.04993448347	0.408485877
2	0.07461056519	0.4031461685
3	0.09743694298	0.3981429636
4	0.1203646605	0.393053441
5	0.1409920194	0.3884175705
6	0.1599024935	0.3841184043
7	0.1774989092	0.3800743045
8	0.1944253811	0.3761431484
9	0.2112492706	0.3721946748
10	0.2274579339	0.3683505618
11	0.2420161704	0.3648633477
12	0.2567328345	0.3613039771
13	0.2706007368	0.3579174959
14	0.2822101251	0.3550576973
15	0.2941752089	0.3520859722
16	0.3065270266	0.3489916517
17	0.3181440587	0.3460561587
18	0.3285155132	0.3434142087
19	0.33806261	0.340964155
20	0.3478498384	0.3384340657
21	0.3572279055	0.3359918748
22	0.3658061362	0.3337423241
23	0.3737347024	0.3316495725
24	0.3814765591	0.3295932811
25	0.3895847389	0.327425847
26	0.3975359088	0.3252863591
27	0.4044678041	0.3234095878
28	0.4103723505	0.3218023332
29	0.416765073	0.3200530941
30	0.4220120147	0.3186101988
31	0.4280420525	0.3169438417
32	0.4326990619	0.3156508906
33	0.4374166076	0.3143357102
34	0.4429386121	0.3127892341
35	0.4479370627	0.3113827602
36	0.4530872496	0.3099269143
37	0.4574053362	0.3087009936
38	0.461795862	0.3074494953
39	0.4660227588	0.3062398066
40	0.4699919079	0.3050995158
41	0.4738703031	0.3039811657
42	0.477049545	0.3030613411
43	0.4806792363	0.3020077666
44	0.4838072007	0.3010968688
45	0.4868028552	0.3002219102
46	0.4889641284	0.2995890675
47	0.4919455	0.2987138913
48	0.4950225006	0.2978079464
49	0.4975988576	0.2970472782
50	0.4998128869	0.2963920273
51	0.5026614138	0.2955468575
52	0.5038696242	0.2951876455
53	0.5064421936	0.2944213372
54	0.5085158443	0.2938021902
55	0.5120499909	0.2927439533
56	0.5140251805	0.2921508483
57	0.5160581342	0.291539138
58	0.5181983688	0.2908937573
59	0.5205973239	0.290168654
60	0.5230155081	0.2894359001
61	0.5247292883	0.2889154682
62	0.5263950963	0.2884087043
63	0.5282179539	0.2878531411
64	0.5296481195	0.2874165093
65	0.5314818947	0.2868556824
66	0.5328819033	0.2864267759
67	0.5346140366	0.2858952293
68	0.5361403428	0.2854260251
69	0.5379920293	0.2848557578
70	0.5392013024	0.2844827186
71	0.5404643441	0.2840925699
72	0.5419899894	0.2836205882
73	0.5434752471	0.2831603453
74	0.5452919472	0.2825963778
75	0.5460587129	0.2823580088
76	0.5471116063	0.2820303613
77	0.5488474144	0.2814893664
78	0.5504237298	0.2809971778
79	0.5518091212	0.2805638905
80	0.5522137434	0.2804372168
81	0.5535072254	0.2800318863
82	0.554638361	0.2796769478
83	0.5554729731	0.2794147663
84	0.5570638066	0.2789143459
85	0.5582043464	0.2785550188
86	0.5597400192	0.2780704715
87	0.560398539	0.2778624315
88	0.5613958444	0.2775470651
89	0.5622574445	0.2772743224
90	0.5629994675	0.2770392171
91	0.5638730065	0.2767621858
92	0.5654705416	0.2762548303
93	0.5671440223	0.2757223542
94	0.568643356	0.2752444141
95	0.5700728251	0.2747879706
96	0.5715895414	0.2743028377
97	0.5731737602	0.2737951958
98	0.5750473723	0.2731936042
99	0.5764714327	0.2727354699
100	0.5778639545	0.2722867366
101	0.5791033166	0.2718867353
102	0.5805560969	0.2714171033
103	0.5816723466	0.2710557068
104	0.5825868665	0.2707592628
105	0.583724235	0.2703901284
106	0.5846058888	0.2701036394
107	0.5855643987	0.2697918312
108	0.5869780489	0.2693313049
109	0.5883503546	0.2688834928
110	0.5897828915	0.268415229
111	0.5906154976	0.2681426933
112	0.5918700862	0.2677315066
113	0.5930702913	0.267337552
114	0.5940278641	0.2670228221
115	0.595871917	0.266415681
116	0.5971853794	0.265982388
117	0.5981321322	0.2656696291
118	0.5991942961	0.2653183054
119	0.6000151114	0.2650464918
120	0.601649431	0.2645044537
121	0.6026873275	0.2641596478
122	0.6042840642	0.2636283055
123	0.6050981395	0.263356995
124	0.6056854991	0.2631610693
125	0.6063743541	0.2629311018
126	0.6078308823	0.2624441906
127	0.608846683	0.2621040773
128	0.6101189523	0.2616774689
129	0.6111912645	0.2613173679
130	0.6121627544	0.2609906957
131	0.6132270763	0.260632338
132	0.6142386527	0.2602912824
133	0.6148416782	0.260087758
134	0.6160816583	0.2596687568
135	0.6169244986	0.2593835665
136	0.6183110528	0.2589137174
137	0.6185506694	0.2588324342
138	0.6198869181	0.2583786807
139	0.6203837719	0.2582097594
140	0.6210065295	0.2579978769
141	0.6216384382	0.2577827028
142	0.6226788443	0.2574280377
143	0.6235005344	0.2571475851
144	0.6241040627	0.2569413988
145	0.6248072614	0.2567009527
146	0.6253504832	0.2565150535
147	0.6259337005	0.2563153171
148	0.6273929897	0.2558148661
149	0.627961092	0.2556197752
150	0.6288783689	0.2553044604
151	0.6292992311	0.2551596581
152	0.6298290315	0.2549772576
153	0.6302634835	0.2548275864
154	0.6309761141	0.2545818904
155	0.631707401	0.2543295155
156	0.631791807	0.25430037
157	0.6328803374	0.2539241989
158	0.6334043289	0.2537429206
159	0.6343263795	0.2534236164
160	0.6347181192	0.2532878359
161	0.6357387358	0.2529337387
162	0.6371621216	0.2524390735
163	0.6379898834	0.2521509576
164	0.6390188667	0.2517923436
165	0.6398693511	0.2514955529
166	0.6403689926	0.2513210312
167	0.6409171719	0.251129416
168	0.641765728	0.2508325159
169	0.6426777807	0.2505130067
170	0.6430609524	0.2503786529
171	0.6435685516	0.2502005591
172	0.6441290701	0.250003751
173	0.6449634679	0.2497104916
174	0.6456417027	0.2494718636
175	0.6461593847	0.2492895703
176	0.6470062961	0.2489910564
177	0.6471094121	0.2489546863
178	0.6478258029	0.2487018608
179	0.6482355938	0.2485571236
180	0.6487345739	0.2483807711
181	0.6494241065	0.2481368661
182	0.6500541894	0.2479137802
183	0.6500827005	0.2479036808
184	0.650673854	0.247694187
185	0.6510331699	0.2475667654
186	0.6518125264	0.2472901623
187	0.6523787584	0.2470890055
