iter	Passed	Remaining
0	76	152322
1	81	81880
2	110	73816
3	137	68790
4	160	63846
5	179	59818
6	199	56806
7	226	56291
8	242	53558
9	268	53506
10	291	52643
11	305	50616
12	312	47720
13	325	46162
14	328	43497
15	348	43178
16	362	42241
17	376	41445
18	390	40705
19	394	39032
20	407	38394
21	422	37960
22	436	37489
23	449	36969
24	462	36531
25	476	36141
26	490	35811
27	502	35388
28	507	34524
29	521	34275
30	524	33327
31	538	33131
32	541	32303
33	555	32119
34	569	31966
35	583	31839
36	598	31740
37	611	31588
38	625	31445
39	640	31365
40	653	31207
41	666	31075
42	680	30972
43	694	30861
44	706	30698
45	710	30194
46	712	29614
47	727	29565
48	740	29465
49	753	29401
50	758	29004
51	772	28924
52	773	28401
53	787	28394
54	802	28383
55	816	28345
56	830	28326
57	845	28316
58	860	28305
59	874	28275
60	888	28237
61	903	28253
62	918	28248
63	931	28188
64	946	28182
65	962	28192
66	976	28183
67	991	28159
68	1005	28130
69	1019	28120
70	1032	28045
71	1045	28004
72	1060	27988
73	1073	27951
74	1091	28025
75	1099	27832
76	1118	27942
77	1137	28017
78	1157	28137
79	1176	28225
80	1179	27951
81	1200	28083
82	1218	28140
83	1236	28203
84	1254	28258
85	1271	28298
86	1288	28337
87	1296	28163
88	1312	28186
89	1332	28282
90	1353	28395
91	1374	28514
92	1396	28641
93	1416	28731
94	1434	28756
95	1460	28970
96	1482	29078
97	1502	29160
98	1525	29292
99	1553	29516
100	1574	29606
101	1596	29708
102	1615	29755
103	1636	29840
104	1663	30013
105	1678	29989
106	1693	29966
107	1711	29988
108	1726	29958
109	1739	29890
110	1753	29844
111	1767	29789
112	1815	30319
113	1842	30483
114	1856	30431
115	1872	30412
116	1887	30373
117	1902	30348
118	1918	30320
119	1932	30269
120	1946	30228
121	1961	30190
122	1975	30142
123	1991	30125
124	2005	30085
125	2019	30041
126	2034	30003
127	2048	29953
128	2061	29900
129	2076	29865
130	2090	29821
131	2105	29793
132	2119	29755
133	2134	29718
134	2150	29710
135	2166	29692
136	2182	29676
137	2197	29644
138	2210	29600
139	2226	29574
140	2240	29544
141	2255	29516
142	2271	29502
143	2286	29472
144	2302	29453
145	2317	29434
146	2331	29394
147	2345	29356
148	2362	29350
149	2377	29326
150	2392	29291
151	2407	29268
152	2422	29248
153	2437	29217
154	2452	29190
155	2468	29175
156	2469	28986
157	2484	28964
158	2499	28938
159	2513	28909
160	2528	28881
161	2543	28860
162	2558	28831
163	2573	28809
164	2587	28781
165	2602	28758
166	2616	28722
167	2630	28686
168	2644	28655
169	2657	28612
170	2673	28591
171	2687	28567
172	2701	28527
173	2714	28490
174	2730	28477
175	2746	28465
176	2761	28440
177	2763	28290
178	2780	28283
179	2794	28257
180	2809	28238
181	2824	28209
182	2838	28181
183	2839	28023
184	2853	27990
185	2868	27974
186	2882	27942
187	2896	27917
188	2912	27905
189	2927	27887
190	2943	27878
191	2957	27852
192	2973	27842
193	2987	27815
194	3002	27788
195	3016	27759
